zip_code,county,population,number_of_clinics,avg_distance_to_clinic_km,healthcare_desert_flag
75000,Collin,6,4,23.98,No
75000,Dallas,6,2,11.53,No
75000,Denton,11,6,16.6,No
75000,Harris,15,3,15.93,No
75000,Tarrant,11,9,2.45,No
75000,Travis,7,8,20.55,No
75001,Collin,7,4,9.81,No
75001,Dallas,7,4,6.76,No
75001,Denton,7,7,15.97,No
75001,Harris,12,5,20.54,No
75001,Tarrant,15,4,9.64,No
75001,Travis,12,9,2.39,No
75002,Collin,7,2,24.61,No
75002,Dallas,14,9,2.78,No
75002,Denton,10,6,4.3,No
75002,Harris,11,5,20.6,No
75002,Tarrant,5,4,5.78,No
75002,Travis,4,3,18.83,No
75003,Collin,8,0,20.07,Yes
75003,Dallas,9,1,21.59,Yes
75003,Denton,7,6,16.15,No
75003,Harris,3,0,5.19,No
75003,Tarrant,10,6,15.93,No
75003,Travis,7,6,11.04,No
75004,Collin,8,1,7.35,No
75004,Dallas,3,5,11.16,No
75004,Denton,8,3,3.29,No
75004,Harris,6,7,4.41,No
75004,Tarrant,6,7,20.45,No
75004,Travis,9,6,13.88,No
75005,Collin,10,3,12.89,No
75005,Dallas,5,8,5.04,No
75005,Denton,8,1,20.37,Yes
75005,Harris,10,9,3.02,No
75005,Tarrant,16,9,17.09,No
75005,Travis,9,4,8.04,No
75006,Collin,11,0,2.79,No
75006,Dallas,7,4,24.8,No
75006,Denton,12,1,22.31,Yes
75006,Harris,7,5,16.68,No
75006,Tarrant,12,9,11.51,No
75006,Travis,4,2,18.57,No
75007,Collin,2,8,18.74,No
75007,Dallas,9,2,14.01,No
75007,Denton,5,0,19.16,Yes
75007,Harris,6,0,14.99,No
75007,Tarrant,5,0,1.24,No
75007,Travis,9,8,11.64,No
75008,Collin,8,8,4.43,No
75008,Dallas,10,7,11.11,No
75008,Denton,7,1,9.51,No
75008,Harris,6,9,16.42,No
75008,Tarrant,6,5,4.01,No
75008,Travis,8,0,16.73,Yes
75009,Collin,5,9,24.16,No
75009,Dallas,9,0,2.51,No
75009,Denton,8,4,11.02,No
75009,Harris,3,9,16.03,No
75009,Tarrant,12,4,1.94,No
75009,Travis,10,3,20.24,No
75010,Collin,10,8,22.17,No
75010,Dallas,12,5,14.83,No
75010,Denton,8,5,16.96,No
75010,Harris,9,4,17.56,No
75010,Tarrant,9,7,1.37,No
75010,Travis,5,5,5.98,No
75011,Collin,3,7,17.48,No
75011,Dallas,9,2,13.46,No
75011,Denton,12,1,7.32,No
75011,Harris,6,7,1.81,No
75011,Tarrant,2,3,13.01,No
75011,Travis,6,2,20.05,No
75012,Collin,9,2,18.94,No
75012,Dallas,7,1,15.41,Yes
75012,Denton,13,4,19.92,No
75012,Harris,7,4,12.79,No
75012,Tarrant,13,9,16.73,No
75012,Travis,12,4,20.86,No
75013,Collin,4,4,8.06,No
75013,Dallas,8,9,24.03,No
75013,Denton,5,1,7.89,No
75013,Harris,6,4,16.74,No
75013,Tarrant,10,3,14.17,No
75013,Travis,15,2,7.9,No
75014,Collin,11,2,18.15,No
75014,Dallas,8,3,4.98,No
75014,Denton,11,4,17.95,No
75014,Harris,10,5,12.18,No
75014,Tarrant,8,8,16.86,No
75014,Travis,3,4,13.72,No
75015,Collin,10,4,15.73,No
75015,Dallas,9,1,19.34,Yes
75015,Denton,6,1,4.55,No
75015,Harris,11,7,11.68,No
75015,Tarrant,14,7,9.66,No
75015,Travis,6,2,11.79,No
75016,Collin,10,4,20.59,No
75016,Dallas,13,4,21.86,No
75016,Denton,4,1,10.57,No
75016,Harris,6,3,12.38,No
75016,Tarrant,8,6,23.34,No
75016,Travis,6,6,14.25,No
75017,Collin,12,4,8.01,No
75017,Dallas,9,9,4.45,No
75017,Denton,14,5,12.8,No
75017,Harris,10,3,23.29,No
75017,Tarrant,6,0,15.62,Yes
75017,Travis,11,5,17.74,No
75018,Collin,10,6,8.21,No
75018,Dallas,6,2,3.22,No
75018,Denton,10,3,9.04,No
75018,Harris,6,2,20.6,No
75018,Tarrant,9,0,22.12,Yes
75018,Travis,6,4,6.1,No
75019,Collin,4,3,3.9,No
75019,Dallas,9,1,3.56,No
75019,Denton,6,9,19.57,No
75019,Harris,8,1,23.78,Yes
75019,Tarrant,3,4,19.57,No
75019,Travis,7,6,6.31,No
75020,Collin,10,6,19.75,No
75020,Dallas,5,0,16.81,Yes
75020,Denton,7,3,13.63,No
75020,Harris,4,8,23.83,No
75020,Tarrant,12,1,14.53,No
75020,Travis,7,6,20.1,No
75021,Collin,3,0,1.4,No
75021,Dallas,6,7,15.52,No
75021,Denton,7,1,20.0,Yes
75021,Harris,7,0,18.06,Yes
75021,Tarrant,10,7,13.63,No
75021,Travis,10,9,15.53,No
75022,Collin,4,6,8.81,No
75022,Dallas,14,9,22.28,No
75022,Denton,5,8,11.9,No
75022,Harris,4,0,10.99,No
75022,Tarrant,9,1,20.86,Yes
75022,Travis,5,9,4.99,No
75023,Collin,9,4,5.78,No
75023,Dallas,4,3,14.32,No
75023,Denton,8,7,13.1,No
75023,Harris,6,1,1.65,No
75023,Tarrant,4,1,18.52,Yes
75023,Travis,8,6,8.61,No
75024,Collin,10,1,15.3,Yes
75024,Dallas,12,0,16.36,Yes
75024,Denton,12,8,17.82,No
75024,Harris,8,9,1.78,No
75024,Tarrant,11,3,11.01,No
75024,Travis,8,6,5.68,No
75025,Collin,10,7,17.4,No
75025,Dallas,6,9,23.93,No
75025,Denton,4,0,13.21,No
75025,Harris,4,4,22.78,No
75025,Tarrant,12,3,19.79,No
75025,Travis,8,2,5.05,No
75026,Collin,9,9,22.53,No
75026,Dallas,4,9,17.02,No
75026,Denton,6,1,9.43,No
75026,Harris,10,8,10.79,No
75026,Tarrant,8,3,16.1,No
75026,Travis,7,6,20.04,No
75027,Collin,8,2,5.48,No
75027,Dallas,2,8,3.44,No
75027,Denton,14,0,14.54,No
75027,Harris,8,4,17.26,No
75027,Tarrant,10,3,21.83,No
75027,Travis,10,4,12.1,No
75028,Collin,8,2,18.36,No
75028,Dallas,11,4,21.4,No
75028,Denton,10,7,22.09,No
75028,Harris,5,5,4.82,No
75028,Tarrant,7,9,15.51,No
75028,Travis,7,3,15.26,No
75029,Collin,11,5,16.76,No
75029,Dallas,5,1,18.2,Yes
75029,Denton,7,9,20.64,No
75029,Harris,7,8,1.89,No
75029,Tarrant,7,4,16.48,No
75029,Travis,10,7,22.18,No
75030,Collin,5,7,24.41,No
75030,Dallas,5,7,17.6,No
75030,Denton,6,9,12.77,No
75030,Harris,7,0,11.33,No
75030,Tarrant,10,0,7.64,No
75030,Travis,9,2,21.15,No
75031,Collin,4,5,2.03,No
75031,Dallas,7,4,22.51,No
75031,Denton,11,4,17.72,No
75031,Harris,12,1,3.44,No
75031,Tarrant,10,5,22.83,No
75031,Travis,6,4,13.75,No
75032,Collin,6,7,6.41,No
75032,Dallas,10,5,20.99,No
75032,Denton,5,2,20.65,No
75032,Harris,8,9,6.67,No
75032,Tarrant,7,4,18.01,No
75032,Travis,8,8,19.49,No
75033,Collin,2,1,6.18,No
75033,Dallas,9,4,17.62,No
75033,Denton,8,9,23.33,No
75033,Harris,6,9,7.36,No
75033,Tarrant,10,7,21.35,No
75033,Travis,14,9,5.36,No
75034,Collin,2,3,2.04,No
75034,Dallas,8,4,19.51,No
75034,Denton,8,2,13.13,No
75034,Harris,6,7,17.52,No
75034,Tarrant,10,8,21.88,No
75034,Travis,8,6,12.56,No
75035,Collin,8,6,16.41,No
75035,Dallas,4,9,16.98,No
75035,Denton,6,9,6.11,No
75035,Harris,10,5,7.53,No
75035,Tarrant,11,6,12.0,No
75035,Travis,7,6,4.72,No
75036,Collin,4,5,22.26,No
75036,Dallas,11,8,11.46,No
75036,Denton,9,9,19.2,No
75036,Harris,10,7,7.61,No
75036,Tarrant,8,9,11.73,No
75036,Travis,8,3,23.43,No
75037,Collin,5,3,3.51,No
75037,Dallas,4,0,6.63,No
75037,Denton,7,5,20.59,No
75037,Harris,5,4,2.08,No
75037,Tarrant,8,6,13.63,No
75037,Travis,15,5,2.71,No
75038,Collin,10,7,15.03,No
75038,Dallas,5,8,7.33,No
75038,Denton,5,5,2.25,No
75038,Harris,12,6,16.93,No
75038,Tarrant,8,5,5.96,No
75038,Travis,10,0,16.03,Yes
75039,Collin,8,7,21.45,No
75039,Dallas,7,9,13.63,No
75039,Denton,6,0,20.2,Yes
75039,Harris,4,0,15.98,Yes
75039,Tarrant,4,5,14.4,No
75039,Travis,8,3,23.43,No
75040,Collin,5,4,2.82,No
75040,Dallas,10,1,15.42,Yes
75040,Denton,9,0,2.3,No
75040,Harris,10,4,15.84,No
75040,Tarrant,14,8,11.62,No
75040,Travis,10,2,22.62,No
75041,Collin,5,7,7.44,No
75041,Dallas,5,6,23.05,No
75041,Denton,11,4,13.0,No
75041,Harris,2,0,12.61,No
75041,Tarrant,11,1,22.95,Yes
75041,Travis,12,3,2.23,No
75042,Collin,6,2,4.49,No
75042,Dallas,8,2,3.54,No
75042,Denton,9,1,1.82,No
75042,Harris,10,8,10.27,No
75042,Tarrant,6,0,23.95,Yes
75042,Travis,9,9,20.42,No
75043,Collin,8,5,22.98,No
75043,Dallas,11,4,21.2,No
75043,Denton,11,2,19.36,No
75043,Harris,9,6,24.86,No
75043,Tarrant,12,4,15.43,No
75043,Travis,11,4,10.05,No
75044,Collin,7,3,12.54,No
75044,Dallas,7,6,11.92,No
75044,Denton,8,8,8.97,No
75044,Harris,7,9,22.08,No
75044,Tarrant,12,6,3.39,No
75044,Travis,12,6,19.81,No
75045,Collin,7,6,14.42,No
75045,Dallas,10,6,19.52,No
